,0
887,MAR08749
888,MAR07657
889,MAR03950
890,MAR01117
891,MAR00282
892,MAR11294
893,MAR01370
894,MAR02640
895,MAR00535
896,MAR02313
897,MAR00210
898,MAR01640
899,MAR07130
900,MAR05909
901,MAR01802
902,MAR04176
903,MAR02351
904,MAR06993
905,MAR09881
906,MAR02752
907,MAR11375
908,MAR12307
909,MAR02526
910,MAR02648
911,MAR04712
912,MAR08659
913,MAR06012
914,MAR02522
915,MAR03055
916,MAR03022
917,MAR10098
918,MAR11577
919,MAR07982
920,MAR07926
921,MAR01312
922,MAR01442
923,MAR01274
924,MAR05091
925,MAR04520
926,MAR00481
927,MAR11411
928,MAR00513
929,MAR08507
930,MAR10392
931,MAR07087
932,MAR03685
933,MAR05638
934,MAR04591
935,MAR02004
936,MAR04635
937,MAR11607
938,MAR02168
939,MAR05688
940,MAR11545
941,MAR03172
942,MAR01259
943,MAR02037
944,MAR02139
945,MAR05869
946,MAR02281
947,MAR05051
948,MAR12242
949,MAR06383
950,MAR00965
951,MAR00991
952,MAR07143
953,MAR02484
954,MAR09598
955,MAR04702
956,MAR03198
957,MAR02674
958,MAR06754
959,MAR01595
960,MAR04975
961,MAR04375
962,MAR06632
963,MAR02003
964,MAR02354
965,MAR04559
966,MAR02262
967,MAR05320
968,MAR03718
969,MAR06629
970,MAR06355
971,MAR02231
972,MAR03114
973,MAR02993
974,MAR10447
975,MAR05377
976,MAR02491
977,MAR11479
978,MAR00487
979,MAR00266
980,MAR12197
981,MAR00780
982,MAR06000
983,MAR03803
984,MAR11521
985,MAR00949
986,MAR10161
987,MAR03683
988,MAR06752
989,MAR07792
990,MAR04638
991,MAR01122
992,MAR02503
993,MAR00495
994,MAR02481
995,MAR06920
996,MAR00396
997,MAR06324
998,MAR02147
999,MAR08558
1000,MAR04243
1001,MAR04731
1002,MAR04697
1003,MAR04580
1004,MAR01555
1005,MAR06702
1006,MAR04152
1007,MAR00477
1008,MAR11595
1009,MAR02143
1010,MAR05844
1011,MAR04848
1012,MAR08735
1013,MAR03143
1014,MAR04352
1015,MAR05710
1016,MAR03887
1017,MAR02236
1018,MAR01375
1019,MAR06017
1020,MAR01093
1021,MAR10021
1022,MAR05071
1023,MAR02766
1024,MAR02304
1025,MAR03170
1026,MAR01748
1027,MAR07876
1028,MAR01297
1029,MAR04956
1030,MAR06358
1031,MAR04245
1032,MAR07073
1033,MAR00252
1034,MAR00086
1035,MAR01726
1036,MAR04056
1037,MAR09651
1038,MAR04632
1039,MAR02230
1040,MAR02768
1041,MAR05815
1042,MAR04536
1043,MAR01287
1044,MAR08069
1045,MAR05312
1046,MAR07492
1047,MAR03398
1048,MAR07730
1049,MAR02342
1050,MAR04881
1051,MAR05678
1052,MAR05619
1053,MAR11314
1054,MAR02493
1055,MAR09817
1056,MAR08557
1057,MAR01548
1058,MAR10128
1059,MAR00102
1060,MAR07990
1061,MAR00972
1062,MAR01508
1063,MAR06550
1064,MAR12266
1065,MAR05752
1066,MAR00514
1067,MAR02548
1068,MAR01567
1069,MAR01054
1070,MAR03279
1071,MAR06373
1072,MAR02374
1073,MAR03203
1074,MAR04501
1075,MAR01157
1076,MAR00176
1077,MAR03769
1078,MAR01797
1079,MAR07691
1080,MAR02384
1081,MAR11600
1082,MAR00018
1083,MAR05767
1084,MAR05674
1085,MAR00681
1086,MAR00541
1087,MAR12244
1088,MAR04587
1089,MAR00268
1090,MAR08520
1091,MAR02005
1092,MAR02689
1093,MAR02232
1094,MAR00770
1095,MAR01700
1096,MAR09890
1097,MAR11602
1098,MAR03193
1099,MAR05528
1100,MAR11722
1101,MAR07125
1102,MAR03854
1103,MAR06449
1104,MAR02605
1105,MAR07006
1106,MAR00112
1107,MAR09465
1108,MAR05321
1109,MAR01691
1110,MAR02665
1111,MAR03681
1112,MAR07892
1113,MAR01241
1114,MAR07827
1115,MAR00469
1116,MAR07928
1117,MAR04301
1118,MAR02520
1119,MAR05136
1120,MAR03018
1121,MAR04116
1122,MAR08341
1123,MAR07062
1124,MAR03292
1125,MAR07066
1126,MAR03712
1127,MAR01107
1128,MAR04666
1129,MAR12289
1130,MAR01321
1131,MAR02528
1132,MAR12148
1133,MAR00327
1134,MAR05719
1135,MAR03853
1136,MAR01454
1137,MAR08108
1138,MAR01896
1139,MAR02264
1140,MAR08889
1141,MAR01799
1142,MAR06280
1143,MAR03495
1144,MAR05387
1145,MAR01382
1146,MAR03111
1147,MAR05330
1148,MAR10453
1149,MAR05859
1150,MAR07820
1151,MAR03716
1152,MAR01553
1153,MAR02650
1154,MAR00907
1155,MAR05728
1156,MAR03301
1157,MAR10001
1158,MAR04471
1159,MAR00539
1160,MAR02469
1161,MAR02286
1162,MAR07538
1163,MAR03977
1164,MAR04171
1165,MAR02183
1166,MAR07064
1167,MAR04105
1168,MAR05653
1169,MAR04506
1170,MAR09022
1171,MAR03842
1172,MAR00197
1173,MAR10102
1174,MAR08147
1175,MAR00412
1176,MAR06713
1177,MAR05392
1178,MAR06838
1179,MAR00938
1180,MAR06080
1181,MAR02254
1182,MAR09734
1183,MAR11489
1184,MAR02969
1185,MAR11736
1186,MAR01576
1187,MAR08440
1188,MAR02246
1189,MAR08556
1190,MAR07873
1191,MAR02541
1192,MAR07854
1193,MAR05790
1194,MAR01676
1195,MAR06507
1196,MAR02957
